"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
114309,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",47,"Cà Mau","","Ca Mau","Than Pho","City"
114310,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",48,"Cái Nu<U+1EDB>c","","Cai Nuoc","Huy<U+1EC7>n","District"
114311,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",49,"Nam Can","","Nam Can","Huy<U+1EC7>n","District"
114312,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",50,"Ng<U+1ECD>c Hi<U+1EC3>n","","Ngoc Hien","Huy<U+1EC7>n","District"
114313,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",51,"Phú Tân","","Phu Tan","Huy<U+1EC7>n","District"
114314,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",52,"Th<U+1EDB>i Bình","","Thoi Binh","Huy<U+1EC7>n","District"
114315,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",53,"Tr<U+1EA7>n Van Th<U+1EDD>i","","Tran Van Thoi","Huy<U+1EC7>n","District"
114316,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",6,"Cà Mau",54,"U Minh","","U Minh","Huy<U+1EC7>n","District"
114317,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",7,"H<U+1EAD>u Giang",55,"Châu Thành A","","Chau Thanh A","Huy<U+1EC7>n","District"
114318,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",7,"H<U+1EAD>u Giang",56,"Châu Thành","","Chau Thanh","Huy<U+1EC7>n","District"
114319,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",7,"H<U+1EAD>u Giang",57,"Long M<U+1EF9>","","","Huy<U+1EC7>n","District"
114320,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",7,"H<U+1EAD>u Giang",58,"Ph<U+1EE5>ng Hi<U+1EC7>p","","Phung Hiep","Huy<U+1EC7>n","District"
114321,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",7,"H<U+1EAD>u Giang",59,"V<U+1ECB> Thanh","","Vi Thuy","Huy<U+1EC7>n","District"
114322,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",7,"H<U+1EAD>u Giang",60,"V<U+1ECB> Thu<U+1EF7>","","Vi Thuy","Huy<U+1EC7>n","District"
114323,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",61,"An Biên","","An Bien","Huy<U+1EC7>n","District"
114324,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",62,"An Minh","","","Huy<U+1EC7>n","District"
114325,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",63,"Châu Thành","","Chau Thanh","Huy<U+1EC7>n","District"
114326,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",64,"Gi<U+1ED3>ng Ri<U+1EC1>ng","","Giong Rieng","Huy<U+1EC7>n","District"
114327,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",65,"Gò Quao","","Go Quao","Huy<U+1EC7>n","District"
114328,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",66,"Hà Tiên","","Ha Tien","Thi xa","Township"
114329,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",67,"Hòn Ð<U+1EA5>t","","Hon Dat","Huy<U+1EC7>n","District"
114330,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",68,"Kiên H<U+1EA3>i","","Kien Hai","Huy<U+1EC7>n","District"
114331,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",69,"Kiên Luong","","Kien Luong","Huy<U+1EC7>n","District"
114332,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",70,"Phú Qu<U+1ED1>c","","Phu Quoc","Huy<U+1EC7>n","District"
114333,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",71,"R<U+1EA1>ch Giá","","Rach Gia","Thi xa","Township"
114334,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",72,"Tân Hi<U+1EC7>p","","Tan Hiep","Huy<U+1EC7>n","District"
114335,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",73,"U Minh Thu<U+1EE3>ng","","","Huy<U+1EC7>n","District"
114336,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",8,"Kiên Giang",74,"Vinh Thu<U+1EAD>n","","Vinh Thuan","Huy<U+1EC7>n","District"
114337,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",75,"Ð<U+1EE9>c Hòa","","Duc Hoa","Huy<U+1EC7>n","District"
114338,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",76,"Ð<U+1EE9>c Hu<U+1EC7>","","Duc Hue","Huy<U+1EC7>n","District"
114339,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",77,"B<U+1EBF>n L<U+1EE9>c","","Ben Luc","Huy<U+1EC7>n","District"
114340,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",78,"C<U+1EA7>n Ðu<U+1EDB>c","","Can Duoc","Huy<U+1EC7>n","District"
114341,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",79,"C<U+1EA7>n Giu<U+1ED9>c","","Can Giuoc","Huy<U+1EC7>n","District"
114342,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",80,"Châu Thành","","Chau Thanh","Huy<U+1EC7>n","District"
114343,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",81,"M<U+1ED9>c Hóa","","Moc Hoa","Huy<U+1EC7>n","District"
114344,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",82,"Tân An","","Tan An","Thi xa","Township"
114345,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",83,"Tân Hung","","Tan Hung","Huy<U+1EC7>n","District"
114346,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",84,"Tân Thành","","Tan Thanh","Huy<U+1EC7>n","District"
114347,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",85,"Tân Tr<U+1EE5>","","Tan Tru","Huy<U+1EC7>n","District"
114348,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",86,"Th<U+1EE7> Th<U+1EEB>a","","Thu Thua","Huy<U+1EC7>n","District"
114349,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",87,"Thanh Hóa","","Thanh Hoa","Huy<U+1EC7>n","District"
114350,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",9,"Long An",88,"Vinh Hung","","Vinh Hung","Huy<U+1EC7>n","District"
114351,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",89,"Châu Thành","","Chau Thanh","Huy<U+1EC7>n","District"
114352,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",90,"Cù Lao Dung","","Cu Lao Dung","Huy<U+1EC7>n","District"
114353,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",91,"K<U+1EBF> Sách","","Ke Sach","Huy<U+1EC7>n","District"
114354,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",92,"Long My","","","Thi xa","Township"
114355,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",93,"Long Phú","","Long Phu","Huy<U+1EC7>n","District"
114356,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",94,"M<U+1EF9> Tú","","My Tu","Huy<U+1EC7>n","District"
114357,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",95,"M<U+1EF9> Xuyên","","My Xuyen","Huy<U+1EC7>n","District"
114358,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",96,"Ngã Nam","","Nga Nam","Huy<U+1EC7>n","District"
114359,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",97,"Thanh Trì","","Thanh Tri","Huy<U+1EC7>n","District"
114360,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",10,"Sóc Trang",98,"Vinh Châu","","Vinh Chau","Huy<U+1EC7>n","District"
114361,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",11,"Ti<U+1EC1>n Giang",99,"Cái Bè","","Cai Be","Huy<U+1EC7>n","District"
114362,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",11,"Ti<U+1EC1>n Giang",100,"Cai L<U+1EAD>y","","Cai Lay","Huy<U+1EC7>n","District"
114363,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",11,"Ti<U+1EC1>n Giang",101,"Ch<U+1EE3> G<U+1EA1>o","","Cho Gao","Huy<U+1EC7>n","District"
114364,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",11,"Ti<U+1EC1>n Giang",102,"Châu Thành","","Chau Thanh","Huy<U+1EC7>n","District"
114365,247,"VNM","Vietnam",1,"d<U+1ED3>ng b<U+1EB1>ng sông C<U+1EED>u Long",11,"Ti<U+1EC1>n Giang",103,"Gò Công Ðông","","Go Cong Dong","Huy<U+1EC7>n","District"
